station,name,state,country,date,tmax,tmin,tobs
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-08-13,70,63,63
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-08-14,68,62,63
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-08-15,75,61,68
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-08-16,76,66,69
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-08-17,76,67,70
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-08-18,76,67,69
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-08-19,79,68,75
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-08-20,88,71,77
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-08-21,91,72,74
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-08-22,75,69,69
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-08-23,76,68,69
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-08-24,78,68,73
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-08-25,90,70,77
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-08-26,91,73,81
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-08-27,94,78,84
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-08-28,84,69,69
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-08-29,76,68,71
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-08-30,95,70,71
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-08-31,75,69,71
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-09-01,80,69,74
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-09-02,74,66,66
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-09-03,71,62,67
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-09-04,83,63,74
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-09-05,74,66,67
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-09-06,80,62,74
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-09-07,86,69,75
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-09-08,75,70,71
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-09-09,94,69,84
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-09-10,95,80,84
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-09-11,84,73,78
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-09-12,81,64,64
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-09-13,65,56,60
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-09-14,71,54,62
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-09-15,62,57,62
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-09-16,63,57,60
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-09-17,67,54,65
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-09-18,81,62,69
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-09-19,78,68,77
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-09-20,77,60,60
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-09-21,66,57,58
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-09-22,64,56,58
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-09-23,65,55,60
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-09-24,66,53,64
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-09-25,66,60,64
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-09-26,68,60,62
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-09-27,72,60,66
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-09-28,83,59,68
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-09-29,69,57,59
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-09-30,69,57,65
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-10-01,78,62,69
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-10-02,77,,
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-10-03,78,,68
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-10-04,74,65,66
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-10-05,79,66,67
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-10-06,67,48,48
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-10-07,68,46,56
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-10-08,67,51,61
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-10-09,65,54,57
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-10-10,66,54,58
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-10-11,66,57,64
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-10-12,74,59,60
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-10-13,61,53,56
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-10-14,60,55,56
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-10-15,65,53,53
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-10-16,54,48,51
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-10-17,53,49,49
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-10-18,50,44,47
USC00111550,CHICAGO NORTHERLY ISLAND,IL,US,2013-10-19,54,45,50
